Date,Description,Amount,Category
2025-04-22,Doctor Clinic,11.17,Health
2025-10-12,Medical Store,132.23,Health
2025-06-28,Sui Gas,335.09,Utilities
2025-11-07,Gym Membership,180.62,Subscriptions
2025-10-16,Grocery,262.95,Shopping
2026-01-24,Imtiaz Super Market,64.85,Shopping
2025-12-13,Pharmacy,208.7,Health
2025-11-06,Doctor Clinic,421.19,Health
2025-04-29,Emirates Airline,136.79,Travel
2025-11-14,Starbucks,99.93,Food
2025-12-29,Nueplex,35.18,Entertainment
2026-02-03,KFC,124.31,Food
2025-10-05,PIA Ticket,441.95,Travel
2025-11-04,InDrive,194.41,Transport
2025-06-30,Electric Bill,235.33,Utilities
2025-09-13,Netflix Subscription,306.98,Subscriptions
2025-05-25,Agha Khan Hospital,323.58,Health
2025-03-29,Cinema,314.37,Entertainment
2025-11-07,Amazon,18.93,Shopping
2026-01-08,Gym Membership,223.37,Subscriptions
2025-04-02,Uber Ride,171.13,Transport
2025-11-20,Shell Oil,257.79,Transport
2026-03-06,Cinema,428.06,Entertainment
2025-12-20,Cloud Storage,342.29,Subscriptions
2026-03-13,Cinema,100.59,Entertainment
2026-01-08,Doctor Clinic,190.64,Health
2026-02-07,Uber Ride,436.25,Transport
2026-03-19,McDonalds,468.6,Food
2025-08-12,Amazon,111.69,Shopping
2025-11-13,Walmart,88.47,Shopping
2025-10-26,Hostel Dues,325.46,Rent
2026-02-02,McDonalds,236.4,Food
2025-04-27,K-Electric,173.91,Utilities
2025-03-28,Cafe,471.49,Food
2025-10-04,Nueplex,340.21,Entertainment
2025-10-24,Spotify Premium,498.86,Subscriptions
2025-12-18,Hotel Booking,213.83,Travel
2025-11-20,Agha Khan Hospital,482.38,Health
2025-12-14,Nueplex,447.16,Entertainment
2025-11-14,Chai,494.3,Food
2025-08-28,McDonalds,18.33,Food
2025-07-26,Train Ticket,381.96,Travel
2025-06-03,Target,305.31,Shopping
2025-11-13,Electric Bill,371.26,Utilities
2026-02-26,K-Electric,267.94,Utilities
2025-10-29,Cafe,45.53,Food
2025-05-04,Hotel Booking,181.41,Travel
2026-02-11,Cinema,353.92,Entertainment
2025-11-20,PTCL Internet,58.33,Utilities
2025-06-02,Daraz,237.29,Shopping
2025-03-23,Starbucks,213.43,Food
2025-09-07,Netflix Subscription,424.23,Subscriptions
2025-04-12,Restaurant,229.92,Food
2025-06-14,Spotify Premium,443.73,Subscriptions
2025-06-16,K-Electric,261.61,Utilities
2025-09-05,Hostel Dues,236.26,Rent
2025-07-12,Restaurant,204.31,Food
2025-08-01,Biryani,217.29,Food
2026-01-08,Target,303.05,Shopping
2026-01-10,House Leasing,307.48,Rent
2025-07-09,Hotel Booking,45.44,Travel
2025-04-05,Pharmacy,51.04,Health
2025-08-20,Apartment Rent,334.46,Rent
2025-12-06,Emirates Airline,354.21,Travel
2026-03-14,Electric Bill,108.1,Utilities
2026-03-13,Panadol,323.32,Health
2026-02-08,PIA Ticket,78.98,Travel
2025-07-22,Pharmacy,325.27,Health
2025-09-30,Train Ticket,328.13,Travel
2025-10-17,Concert Ticket,482.14,Entertainment
2025-07-19,Chai,26.49,Food
2025-09-01,Shell Oil,24.44,Transport
2025-05-09,Imtiaz Super Market,321.76,Shopping
2025-08-21,Panadol,301.99,Health
2025-08-16,Apartment Rent,478.21,Rent
2025-12-16,Starbucks,488.17,Food
2026-03-18,Emirates Airline,295.07,Travel
2026-03-17,McDonalds,256.49,Food
2025-08-01,Agha Khan Hospital,245.54,Health
2026-02-03,Nueplex,122.22,Entertainment
2025-09-16,Petrol,406.29,Transport
2026-01-18,PSO Pump,262.51,Transport
2025-08-15,Pharmacy,72.29,Health
2025-09-09,Hostel Dues,422.43,Rent
2025-05-25,Emirates Airline,132.52,Travel
2025-04-12,Steam Games,449.15,Entertainment
2026-02-21,Starbucks,410.33,Food
2025-12-09,House Leasing,325.13,Rent
2025-08-15,Hostel Dues,256.73,Rent
2025-06-10,Pharmacy,186.18,Health
2025-04-09,Sambosa,145.85,Food
2025-10-31,PIA Ticket,98.76,Travel
2025-10-04,Panadol,306.73,Health
2025-09-13,Doctor Clinic,272.99,Health
2025-06-20,Uber Ride,160.16,Transport
2026-01-29,Foodpanda,269.98,Food
2025-11-27,Cinema,373.35,Entertainment
2025-04-17,Starbucks,136.46,Food
2025-05-21,House Leasing,162.69,Rent
2026-02-05,Biryani,366.39,Food
2025-05-01,PIA Ticket,215.39,Travel
2025-11-24,Emirates Airline,203.43,Travel
2025-06-07,Emirates Airline,262.64,Travel
2025-08-01,Doctor Clinic,191.41,Health
2025-07-20,Careem,370.54,Transport
2026-02-25,PTCL Internet,234.44,Utilities
2025-05-19,Grocery,165.49,Shopping
2025-07-14,Steam Games,368.98,Entertainment
2025-08-24,House Leasing,346.45,Rent
2026-01-02,PIA Ticket,364.97,Travel
2025-08-27,Medical Store,291.2,Health
2025-11-19,Doctor Clinic,97.02,Health
2025-05-14,Netflix Subscription,463.03,Subscriptions
2025-04-23,House Leasing,216.89,Rent
2026-02-11,Restaurant,282.18,Food
2026-01-01,Agha Khan Hospital,23.45,Health
2026-01-30,Nueplex,279.62,Entertainment
2025-08-20,Apartment Rent,196.83,Rent
2026-02-13,PIA Ticket,38.92,Travel
2026-03-17,KFC,298.12,Food
2025-11-27,Hotel Booking,138.47,Travel
2025-12-10,Netflix Subscription,101.8,Subscriptions
2025-03-24,Netflix Subscription,380.49,Subscriptions
2025-10-31,K-Electric,38.91,Utilities
2025-11-30,Petrol,368.03,Transport
2025-09-19,Medical Store,455.15,Health
2025-03-24,Doctor Clinic,75.43,Health
2025-12-22,Starbucks,36.36,Food
2025-08-09,KFC,20.34,Food
2025-07-29,Pharmacy,307.4,Health
2025-09-21,Water Bill,375.57,Utilities
2025-05-13,Hostel Dues,294.55,Rent
2025-09-08,Bazaar,150.01,Shopping
2025-09-19,Concert Ticket,349.88,Entertainment
2026-03-03,Careem,323.39,Transport
2025-05-04,InDrive,205.12,Transport
2026-02-09,Agha Khan Hospital,17.26,Health
2025-12-16,Water Bill,476.39,Utilities
2025-08-05,Bykea,184.47,Transport
2025-06-21,Imtiaz Super Market,263.55,Shopping
2025-12-17,Concert Ticket,5.38,Entertainment
2025-04-29,Doctor Clinic,489.66,Health
2025-08-24,Apartment Rent,464.16,Rent
2025-10-30,Eid Clothes,472.69,Shopping
2025-06-30,PTCL Internet,126.8,Utilities
2025-06-13,Emirates Airline,270.38,Travel
2025-05-26,Petrol,171.94,Transport
2025-06-16,Walmart,81.98,Shopping
2025-04-02,Restaurant,64.88,Food
2026-01-13,Eid Clothes,229.87,Shopping
2025-08-20,Cinema,263.56,Entertainment
2025-06-05,PIA Ticket,191.08,Travel
2025-09-22,Panadol,209.45,Health
2025-11-09,Apartment Rent,146.25,Rent
2026-02-06,Walmart,458.26,Shopping
2025-03-25,Bykea,372.6,Transport
2026-01-13,Agha Khan Hospital,402.05,Health
2025-05-16,Doctor Clinic,83.52,Health
2025-11-21,Cloud Storage,30.51,Subscriptions
2025-09-01,Gym Membership,253.83,Subscriptions
2025-07-18,Apartment Rent,365.4,Rent
2026-01-24,Concert Ticket,244.66,Entertainment
2025-04-08,House Leasing,9.13,Rent
2025-09-26,Careem,236.09,Transport
2025-09-11,InDrive,424.48,Transport
2025-06-03,PSO Pump,374.28,Transport
2025-12-21,Shell Oil,229.77,Transport
2026-01-25,Concert Ticket,382.65,Entertainment
2025-10-12,Hostel Dues,428.51,Rent
2025-09-16,Petrol,190.68,Transport
2025-08-14,Gym Membership,219.3,Subscriptions
2026-02-27,Apartment Rent,71.9,Rent
2025-12-20,Concert Ticket,207.21,Entertainment
2025-12-15,Cinema,390.39,Entertainment
2026-01-23,Netflix Subscription,267.78,Subscriptions
2025-09-17,InDrive,21.68,Transport
2025-06-10,Steam Games,153.75,Entertainment
2025-04-18,Sui Gas,90.56,Utilities
2025-03-23,Bazaar,438.58,Shopping
2025-11-23,Sambosa,184.39,Food
2025-07-07,Nueplex,237.83,Entertainment
2025-06-26,Medical Store,353.61,Health
2025-08-31,House Leasing,152.9,Rent
2025-07-30,House Leasing,6.67,Rent
2025-09-19,Bus Ticket,31.79,Transport
2025-11-27,Steam Games,450.1,Entertainment
2026-03-01,Foodpanda,478.85,Food
2025-05-15,Concert Ticket,173.27,Entertainment
2025-05-13,Hotel Booking,382.59,Travel
2025-07-19,Train Ticket,495.85,Travel
2025-12-12,Bykea,291.17,Transport
2025-10-03,Hostel Dues,271.9,Rent
2025-05-27,Steam Games,29.6,Entertainment
2026-02-25,Uber Ride,66.35,Transport
2025-04-01,Foodpanda,35.35,Food
2025-08-21,Gym Membership,169.9,Subscriptions
2025-11-21,InDrive,483.65,Transport
2025-06-17,PSO Pump,454.04,Transport
2025-03-23,House Leasing,51.23,Rent
2026-01-03,Bykea,124.11,Transport
2025-04-25,Hotel Booking,220.51,Travel
2025-04-04,Agha Khan Hospital,448.22,Health
2025-06-21,PIA Ticket,225.67,Travel
2026-02-24,Panadol,52.91,Health
2025-08-08,Steam Games,248.15,Entertainment
2025-06-06,Careem,71.09,Transport
2025-06-29,Netflix Subscription,126.21,Subscriptions
2025-12-18,McDonalds,134.29,Food
2026-02-27,PIA Ticket,347.1,Travel
2025-10-04,InDrive,124.33,Transport
2025-08-14,Bus Ticket,328.19,Transport
2025-10-15,InDrive,401.42,Transport
2025-05-15,Agha Khan Hospital,128.68,Health
2025-04-23,Panadol,407.98,Health
2025-07-15,K-Electric,423.71,Utilities
2026-01-08,Target,472.38,Shopping
2026-02-14,Doctor Clinic,39.51,Health
2025-07-16,Careem,281.64,Transport
2025-10-14,Concert Ticket,449.89,Entertainment
2026-01-16,Sui Gas,54.33,Utilities
2025-03-28,Steam Games,456.1,Entertainment
2025-10-22,Emirates Airline,158.4,Travel
2025-05-10,Pharmacy,405.16,Health
2025-05-19,K-Electric,147.77,Utilities
2025-06-12,Careem,436.76,Transport
2026-03-03,Imtiaz Super Market,254.07,Shopping
2025-06-26,Careem,267.03,Transport
2026-02-13,Foodpanda,320.56,Food
2025-04-16,Target,410.39,Shopping
2025-09-20,Gym Membership,184.34,Subscriptions
2025-10-20,Spotify Premium,343.25,Subscriptions
2025-10-12,Foodpanda,328.75,Food
2025-10-22,Gym Membership,432.08,Subscriptions
2025-12-11,Panadol,392.5,Health
2025-06-12,KFC,411.02,Food
2026-02-06,Medical Store,354.37,Health
2025-08-14,Petrol,375.04,Transport
2025-11-14,Daraz,406.37,Shopping
2025-04-24,Daraz,489.12,Shopping
2025-06-13,Hostel Dues,473.22,Rent
2025-12-16,Petrol,43.71,Transport
2025-10-26,Sui Gas,90.8,Utilities
2025-05-01,Nueplex,393.95,Entertainment
2026-01-10,Hostel Dues,162.64,Rent
2025-10-22,Hostel Dues,44.57,Rent
2025-06-30,Steam Games,397.56,Entertainment
2025-04-13,Sambosa,235.84,Food
2025-08-01,Shell Oil,376.47,Transport
2025-12-08,PTCL Internet,133.18,Utilities
2025-08-11,Concert Ticket,9.15,Entertainment
2026-01-18,Train Ticket,434.41,Travel
2025-12-25,Concert Ticket,441.44,Entertainment
2025-07-23,Sambosa,262.86,Food
2026-02-15,Spotify Premium,303.1,Subscriptions
2025-04-27,Sambosa,56.9,Food
2025-03-26,Concert Ticket,242.85,Entertainment
2025-12-17,Gym Membership,487.69,Subscriptions
2025-08-07,Bazaar,196.38,Shopping
2025-10-11,Apartment Rent,21.81,Rent
2025-07-05,PTCL Internet,497.14,Utilities
2025-10-29,Amazon,167.44,Shopping
2025-09-30,KFC,367.82,Food
2026-01-09,Spotify Premium,289.53,Subscriptions
2025-09-04,Bus Ticket,135.87,Transport
2025-12-06,Hostel Dues,339.24,Rent
2025-07-30,Starbucks,363.94,Food
2026-03-09,Cloud Storage,411.97,Subscriptions
2025-04-20,Bazaar,53.45,Shopping
2026-03-04,Target,63.97,Shopping
2025-05-22,Agha Khan Hospital,37.78,Health
2025-05-29,Chai,43.2,Food
2025-09-03,Doctor Clinic,35.43,Health
2025-12-26,Bazaar,172.63,Shopping
2025-06-06,Daraz,80.71,Shopping
2025-08-15,PIA Ticket,316.27,Travel
2025-10-19,InDrive,342.84,Transport
2025-06-04,Uber Ride,458.9,Transport
2025-11-20,Amazon,34.8,Shopping
2025-06-23,Cinema,490.34,Entertainment
2026-03-17,Cloud Storage,64.43,Subscriptions
2025-05-10,InDrive,89.17,Transport
2025-08-14,Cloud Storage,143.05,Subscriptions
2025-10-10,Daraz,30.51,Shopping
2025-07-15,PIA Ticket,40.54,Travel
2026-02-09,McDonalds,331.1,Food
2026-01-19,Imtiaz Super Market,446.02,Shopping
2026-01-06,Panadol,241.65,Health
2025-06-16,Panadol,393.09,Health
2025-03-23,Apartment Rent,240.3,Rent
2025-05-01,Netflix Subscription,233.59,Subscriptions
2025-05-03,McDonalds,362.72,Food
2025-09-11,Bykea,151.6,Transport
2025-08-13,Careem,213.08,Transport
2025-07-14,Emirates Airline,199.29,Travel
2026-03-19,House Leasing,435.72,Rent
2025-08-12,Hostel Dues,160.41,Rent
2025-09-10,Concert Ticket,211.18,Entertainment
2025-11-20,Pharmacy,406.14,Health
2025-06-19,PSO Pump,37.35,Transport
2025-11-17,Pharmacy,288.51,Health
2025-07-10,Sambosa,474.48,Food
2025-11-26,Spotify Premium,254.3,Subscriptions
2025-07-04,Cafe,427.3,Food
2025-11-21,Train Ticket,155.89,Travel
2025-12-25,Hostel Dues,51.44,Rent
2026-02-12,Walmart,178.35,Shopping
2025-09-03,K-Electric,65.98,Utilities
2025-04-03,Train Ticket,495.41,Travel
2025-04-23,Restaurant,414.33,Food
2025-11-22,Steam Games,337.58,Entertainment
2025-10-24,Bazaar,149.36,Shopping
2025-09-28,Hotel Booking,80.69,Travel
2025-05-11,Hostel Dues,338.04,Rent
2025-04-30,Cloud Storage,178.52,Subscriptions
2026-02-28,InDrive,85.34,Transport
2025-11-15,K-Electric,437.09,Utilities
2025-06-15,Gym Membership,461.38,Subscriptions
2025-07-03,Chai,56.83,Food
2025-10-15,Agha Khan Hospital,437.14,Health
2025-10-28,Electric Bill,229.34,Utilities
2026-01-05,House Leasing,415.39,Rent
2025-03-22,Gym Membership,495.24,Subscriptions
2025-04-17,Cinema,22.04,Entertainment
2025-10-08,Spotify Premium,301.68,Subscriptions
2025-12-09,Agha Khan Hospital,338.57,Health
2026-01-28,Electric Bill,365.87,Utilities
2025-07-16,Cloud Storage,496.38,Subscriptions
2025-09-05,Amazon,317.76,Shopping
2025-03-24,Bazaar,307.84,Shopping
2025-11-24,Hostel Dues,293.05,Rent
2025-05-28,Medical Store,53.25,Health
2026-02-21,Pharmacy,482.31,Health
2025-09-01,Cloud Storage,273.52,Subscriptions
2025-04-25,Concert Ticket,361.42,Entertainment
2025-08-04,Bus Ticket,9.19,Transport
2025-10-28,Walmart,483.39,Shopping
2026-02-26,K-Electric,103.54,Utilities
2026-01-25,Netflix Subscription,289.23,Subscriptions
2025-04-01,Train Ticket,380.51,Travel
2025-12-25,KFC,250.33,Food
2025-10-02,Gym Membership,60.22,Subscriptions
2025-11-26,Cloud Storage,110.01,Subscriptions
2026-02-18,Spotify Premium,326.05,Subscriptions
2025-04-24,Biryani,287.12,Food
2025-06-25,Foodpanda,7.58,Food
2025-09-10,Sambosa,21.65,Food
2025-04-30,Spotify Premium,143.13,Subscriptions
2026-03-01,Foodpanda,172.93,Food
2025-09-06,Petrol,258.61,Transport
2025-05-31,Cafe,321.58,Food
2025-08-20,House Leasing,356.8,Rent
2025-08-23,Petrol,374.63,Transport
2025-05-20,Apartment Rent,92.28,Rent
2025-11-28,Bazaar,458.82,Shopping
2025-07-03,Amazon,487.84,Shopping
2025-07-24,Sui Gas,219.62,Utilities
2025-05-14,Gym Membership,498.7,Subscriptions
2025-12-09,Shell Oil,85.4,Transport
2025-06-05,Gym Membership,276.03,Subscriptions
2025-09-17,Sui Gas,371.62,Utilities
2026-01-26,Grocery,306.42,Shopping
2025-09-03,PTCL Internet,233.07,Utilities
2025-11-23,Panadol,244.18,Health
2025-06-25,Careem,216.3,Transport
2026-03-03,Walmart,283.54,Shopping
2025-04-04,Doctor Clinic,57.83,Health
2025-05-08,Pharmacy,484.32,Health
2025-11-08,Steam Games,124.53,Entertainment
2025-05-31,Panadol,86.8,Health
2026-03-13,Emirates Airline,146.7,Travel
2026-02-06,Imtiaz Super Market,253.19,Shopping
2025-04-25,Spotify Premium,301.01,Subscriptions
2025-05-05,Bazaar,71.39,Shopping
2025-12-05,Cinema,300.98,Entertainment
2025-10-02,Doctor Clinic,446.73,Health
2025-12-25,PSO Pump,343.94,Transport
2025-08-15,Cinema,334.12,Entertainment
2025-11-11,Apartment Rent,213.62,Rent
2025-09-04,House Leasing,449.9,Rent
2025-09-04,InDrive,385.95,Transport
2025-12-25,Cloud Storage,311.91,Subscriptions
2025-09-19,Emirates Airline,408.05,Travel
2026-03-14,Steam Games,247.61,Entertainment
2025-04-20,House Leasing,136.96,Rent
2025-05-25,PTCL Internet,403.95,Utilities
2025-06-01,Eid Clothes,170.98,Shopping
2025-12-12,Petrol,386.41,Transport
2025-09-03,Apartment Rent,186.53,Rent
2025-06-06,Bykea,65.62,Transport
2026-01-08,Amazon,181.3,Shopping
2025-06-04,Emirates Airline,102.3,Travel
2025-09-27,Foodpanda,285.79,Food
2025-03-21,Nueplex,349.56,Entertainment
2025-06-04,Pharmacy,489.53,Health
2025-09-27,Bazaar,387.29,Shopping
2026-02-15,Panadol,243.22,Health
2026-02-23,Cloud Storage,404.63,Subscriptions
2025-11-14,Apartment Rent,467.23,Rent
2025-10-11,Amazon,133.89,Shopping
2025-09-06,Steam Games,24.36,Entertainment
2025-09-21,Daraz,362.12,Shopping
2026-01-25,Sui Gas,38.12,Utilities
2025-10-06,Train Ticket,391.0,Travel
2025-03-30,Doctor Clinic,278.63,Health
2025-11-28,Medical Store,332.09,Health
2026-03-01,K-Electric,367.22,Utilities
2025-08-15,Apartment Rent,353.43,Rent
2026-02-23,Netflix Subscription,293.04,Subscriptions
2025-05-15,Starbucks,200.37,Food
2025-08-13,Sui Gas,64.69,Utilities
2025-05-22,Spotify Premium,311.76,Subscriptions
2025-04-12,Doctor Clinic,299.4,Health
2026-03-01,Nueplex,206.0,Entertainment
2025-03-21,Bus Ticket,350.89,Transport
2026-01-22,Spotify Premium,164.22,Subscriptions
2026-03-14,Cinema,479.39,Entertainment
2025-05-23,Starbucks,384.26,Food
2025-07-12,Cafe,20.3,Food
2025-06-07,PTCL Internet,267.09,Utilities
2025-03-24,Agha Khan Hospital,134.31,Health
2025-12-17,Hotel Booking,65.3,Travel
2026-03-06,Cinema,71.34,Entertainment
2025-04-09,Cinema,93.22,Entertainment
2026-03-08,Panadol,64.88,Health
2025-03-28,Walmart,7.89,Shopping
2025-06-26,Starbucks,427.22,Food
2026-01-08,KFC,252.48,Food
2026-03-09,Steam Games,288.47,Entertainment
2025-06-16,Starbucks,61.96,Food
2025-10-07,Daraz,174.15,Shopping
2025-04-12,Bus Ticket,357.45,Transport
2026-03-06,Sui Gas,326.34,Utilities
2025-04-29,Imtiaz Super Market,36.34,Shopping
2025-10-20,Amazon,402.63,Shopping
2025-07-08,Restaurant,411.5,Food
2025-04-01,Emirates Airline,208.86,Travel
2025-11-10,Amazon,429.74,Shopping
2025-09-09,Cafe,390.14,Food
2025-12-10,Sui Gas,344.34,Utilities
2025-08-05,Medical Store,76.06,Health
2025-07-26,Doctor Clinic,262.92,Health
2025-12-17,Doctor Clinic,329.05,Health
2026-02-06,Sambosa,393.57,Food
2025-09-22,Hotel Booking,250.42,Travel
2025-07-05,Chai,223.65,Food
2025-06-30,Bazaar,176.82,Shopping
2025-07-06,Amazon,333.74,Shopping
2026-01-22,Sambosa,351.24,Food
2025-12-09,House Leasing,104.1,Rent
2025-12-04,Careem,477.75,Transport
2025-05-06,Train Ticket,97.5,Travel
2025-11-23,Apartment Rent,443.06,Rent
2025-12-16,House Leasing,391.44,Rent
2025-03-28,PTCL Internet,330.63,Utilities
2025-05-21,Chai,309.66,Food
2026-02-18,Restaurant,58.45,Food
2025-11-05,Medical Store,152.99,Health
2025-03-24,Hotel Booking,488.0,Travel
2025-09-13,Cinema,394.0,Entertainment
2026-01-13,Imtiaz Super Market,370.54,Shopping
2025-09-04,Cinema,385.23,Entertainment
2025-06-27,Apartment Rent,300.81,Rent
2025-12-02,PIA Ticket,429.06,Travel
2025-10-23,Emirates Airline,146.8,Travel
2025-12-08,Bus Ticket,336.54,Transport
2026-01-13,Emirates Airline,492.18,Travel
2025-06-05,Biryani,137.64,Food
2025-06-17,Bykea,442.58,Transport
2025-04-03,Sui Gas,113.96,Utilities
2025-05-13,Apartment Rent,15.46,Rent
2025-10-16,Cloud Storage,103.51,Subscriptions
2025-06-03,Apartment Rent,489.72,Rent
2026-01-21,Restaurant,133.44,Food
2025-08-01,McDonalds,464.32,Food
2025-04-05,Apartment Rent,421.52,Rent
2025-06-04,Cinema,116.75,Entertainment
2025-05-25,Medical Store,439.17,Health
2025-10-10,Bazaar,368.39,Shopping
2025-05-12,PSO Pump,445.8,Transport
2025-10-03,Apartment Rent,194.9,Rent
2025-05-18,Gym Membership,470.58,Subscriptions
2025-09-14,Steam Games,421.92,Entertainment
2025-11-23,Sui Gas,446.14,Utilities
2026-03-10,Cloud Storage,285.56,Subscriptions
2026-02-15,Apartment Rent,391.95,Rent
2026-03-17,Bus Ticket,212.19,Transport
2026-01-15,KFC,136.91,Food
2026-01-02,Cloud Storage,343.93,Subscriptions
2025-10-01,PIA Ticket,81.03,Travel
2026-01-31,K-Electric,257.65,Utilities
2025-04-02,Sui Gas,196.81,Utilities
2025-07-04,Walmart,13.38,Shopping
2025-07-08,Hotel Booking,46.58,Travel
2025-12-05,Panadol,110.76,Health
2026-02-07,Spotify Premium,488.61,Subscriptions
2025-05-02,Uber Ride,165.58,Transport
2025-08-06,PIA Ticket,368.98,Travel
2026-01-24,Train Ticket,291.41,Travel
2026-01-17,Hostel Dues,210.56,Rent
2025-06-20,Emirates Airline,411.43,Travel
2025-09-06,Panadol,90.66,Health
2025-10-16,PIA Ticket,239.24,Travel
2025-07-13,Chai,244.39,Food
2025-04-08,InDrive,59.48,Transport
2025-03-25,Chai,414.77,Food
2026-02-02,Spotify Premium,124.29,Subscriptions
2025-06-23,House Leasing,287.34,Rent
2025-07-09,Daraz,355.49,Shopping
2025-07-23,Doctor Clinic,345.44,Health
2025-08-03,Steam Games,478.93,Entertainment
2025-03-31,Panadol,188.15,Health
2026-01-19,Doctor Clinic,364.24,Health
2025-06-30,McDonalds,120.29,Food
2026-03-06,Nueplex,289.77,Entertainment
2026-01-13,Petrol,266.41,Transport
2026-01-31,Emirates Airline,160.89,Travel
2025-11-21,Shell Oil,46.95,Transport
2025-08-02,Careem,283.46,Transport
2025-09-19,Medical Store,217.07,Health
2026-01-04,Uber Ride,134.63,Transport
2025-06-26,Spotify Premium,473.87,Subscriptions
2025-12-14,Gym Membership,187.52,Subscriptions
2025-08-08,Walmart,254.69,Shopping
2025-06-16,Netflix Subscription,187.76,Subscriptions
2025-08-16,PTCL Internet,14.69,Utilities
2025-04-11,Spotify Premium,484.73,Subscriptions
2025-05-25,Train Ticket,265.37,Travel
2025-04-02,Panadol,382.96,Health
2025-11-22,Shell Oil,261.8,Transport
2025-07-28,Netflix Subscription,255.59,Subscriptions
2026-01-13,Grocery,66.47,Shopping
2025-11-26,Steam Games,168.15,Entertainment
2026-02-19,Uber Ride,408.34,Transport
2026-02-25,Netflix Subscription,44.34,Subscriptions
2025-10-10,Hostel Dues,339.79,Rent
2025-07-29,House Leasing,169.09,Rent
2025-09-28,House Leasing,431.78,Rent
2025-08-31,Steam Games,265.82,Entertainment
2025-06-07,PIA Ticket,134.34,Travel
2025-08-06,Emirates Airline,391.69,Travel
2025-07-29,Gym Membership,113.51,Subscriptions
2025-06-14,PIA Ticket,436.34,Travel
2025-08-29,Cinema,209.81,Entertainment
2025-10-31,House Leasing,321.65,Rent
2025-10-01,Nueplex,479.4,Entertainment
2025-08-02,Bykea,238.93,Transport
2025-09-18,Spotify Premium,257.2,Subscriptions
2025-08-09,Steam Games,9.59,Entertainment
2025-05-31,Gym Membership,299.04,Subscriptions
2025-04-25,Pharmacy,358.54,Health
2025-11-01,Panadol,269.69,Health
2025-10-28,Spotify Premium,101.65,Subscriptions
2025-04-10,McDonalds,289.13,Food
2025-07-09,Shell Oil,414.3,Transport
2025-05-07,Gym Membership,359.04,Subscriptions
2025-05-27,Steam Games,82.39,Entertainment
2025-07-11,Uber Ride,363.5,Transport
2025-09-20,Concert Ticket,284.35,Entertainment
2025-12-03,Emirates Airline,247.59,Travel
2025-10-20,Imtiaz Super Market,50.92,Shopping
2025-10-24,Cinema,61.23,Entertainment
2025-05-07,Panadol,486.86,Health
2025-12-16,Starbucks,455.35,Food
2025-10-04,Gym Membership,111.83,Subscriptions
2025-09-03,Cafe,472.99,Food
2025-09-01,Foodpanda,465.59,Food
2026-02-11,Steam Games,417.86,Entertainment
2026-02-04,Pharmacy,492.11,Health
2025-11-13,Eid Clothes,357.77,Shopping
2025-03-30,Electric Bill,17.7,Utilities
2025-03-25,PTCL Internet,490.31,Utilities
2026-03-13,KFC,470.39,Food
2025-04-27,K-Electric,250.84,Utilities
2025-10-03,Biryani,298.39,Food
2025-09-16,KFC,280.59,Food
2025-05-06,PSO Pump,414.32,Transport
2026-02-02,Electric Bill,454.98,Utilities
2025-07-15,Electric Bill,101.41,Utilities
2025-07-25,Sambosa,12.45,Food
2025-07-03,Grocery,86.66,Shopping
2025-06-01,Daraz,336.78,Shopping
2025-07-25,K-Electric,404.24,Utilities
2026-02-10,Apartment Rent,445.59,Rent
2025-12-01,Hostel Dues,264.33,Rent
2026-02-27,Target,402.53,Shopping
2025-08-04,Spotify Premium,451.43,Subscriptions
2026-02-28,Water Bill,62.83,Utilities
2025-03-30,Emirates Airline,349.14,Travel
2025-06-03,Water Bill,463.58,Utilities
2025-10-04,Spotify Premium,154.62,Subscriptions
2025-11-07,InDrive,340.84,Transport
2026-02-11,Starbucks,341.91,Food
2026-01-30,Grocery,315.95,Shopping
2025-10-20,Foodpanda,220.61,Food
2026-01-22,Electric Bill,294.96,Utilities
2025-05-18,Gym Membership,367.17,Subscriptions
2025-04-01,Spotify Premium,188.39,Subscriptions
2025-04-02,Pharmacy,256.29,Health
2025-10-29,McDonalds,126.67,Food
2025-05-26,Apartment Rent,416.06,Rent
2026-01-21,Amazon,195.06,Shopping
2025-06-09,Hotel Booking,182.02,Travel
2026-02-08,Sambosa,236.57,Food
2026-01-21,McDonalds,90.54,Food
2025-07-09,Uber Ride,130.36,Transport
2025-12-04,K-Electric,146.34,Utilities
2025-04-20,Foodpanda,440.5,Food
2026-01-25,Netflix Subscription,292.61,Subscriptions
2025-03-25,Hostel Dues,437.59,Rent
2025-07-05,Gym Membership,30.41,Subscriptions
2026-01-08,Water Bill,350.01,Utilities
2025-08-23,House Leasing,364.93,Rent
2025-04-30,Steam Games,103.44,Entertainment
2025-04-21,Medical Store,374.57,Health
2026-03-07,Doctor Clinic,107.99,Health
2026-01-26,Hostel Dues,144.83,Rent
2025-12-31,Agha Khan Hospital,67.98,Health
2025-10-08,Apartment Rent,159.29,Rent
2025-05-27,Doctor Clinic,285.25,Health
2025-12-06,Netflix Subscription,263.26,Subscriptions
2025-11-22,Petrol,182.47,Transport
2025-08-09,Nueplex,378.91,Entertainment
2025-06-09,Apartment Rent,394.96,Rent
2025-08-21,Sambosa,148.72,Food
2025-04-10,Pharmacy,464.51,Health
2025-07-27,PIA Ticket,52.02,Travel
2025-12-19,Uber Ride,486.13,Transport
2026-03-12,Nueplex,20.42,Entertainment
2025-08-22,Steam Games,306.51,Entertainment
